,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,label
0,25,4,226802,1,7,4,7,3,2,1,0,0,40,39,0,3
1,38,4,89814,11,9,2,5,0,4,1,0,0,50,39,0,1
2,28,2,336951,7,12,2,11,0,4,1,0,0,40,39,1,0
3,44,4,160323,15,10,2,7,0,2,1,7688,0,40,39,1,3
4,18,0,103497,15,10,4,0,3,4,0,0,0,30,39,0,1
5,34,4,198693,0,6,4,8,1,4,1,0,0,30,39,0,3
6,29,0,227026,11,9,4,0,4,2,1,0,0,40,39,0,3
7,63,6,104626,14,15,2,10,0,4,1,3103,0,32,39,1,1
8,24,4,369667,15,10,4,8,4,4,0,0,0,40,39,0,0
9,55,4,104996,5,4,2,3,0,4,1,0,0,10,39,0,1
10,65,4,184454,11,9,2,7,0,4,1,6418,0,40,39,1,3
11,36,1,212465,9,13,2,1,0,4,1,0,0,40,39,0,3
12,26,4,82091,11,9,4,1,1,4,0,0,0,39,39,0,1
13,58,0,299831,11,9,2,0,0,4,1,0,0,35,39,0,0
14,48,4,279724,11,9,2,7,0,4,1,3103,0,48,39,1,0
15,43,4,346189,12,14,2,4,0,4,1,0,0,50,39,1,0
16,20,7,444554,15,10,4,8,3,4,1,0,0,25,39,0,2
17,43,4,128354,11,9,2,1,5,4,0,0,0,30,39,0,1
18,37,4,60548,11,9,6,7,4,4,0,0,0,20,39,0,1
19,40,4,85019,10,16,2,10,0,1,1,0,0,45,0,1,1
20,34,4,107914,9,13,2,13,0,4,1,0,0,47,39,1,1
21,34,4,238588,15,10,4,8,3,2,0,0,0,35,39,0,3
22,72,0,132015,5,4,0,0,1,4,0,0,0,6,39,0,1
23,25,4,220931,9,13,4,10,1,4,1,0,0,43,29,0,3
24,25,4,205947,9,13,2,10,0,4,1,0,0,40,39,0,3
25,45,6,432824,11,9,2,3,0,4,1,7298,0,90,39,1,2
26,22,4,236427,11,9,4,1,3,4,1,0,0,20,39,0,3
27,23,4,134446,11,9,5,7,4,2,1,0,0,54,39,0,1
28,54,4,99516,11,9,2,3,0,4,1,0,0,35,39,0,1
29,32,6,109282,15,10,4,10,1,4,1,0,0,60,39,0,1
30,46,7,106444,15,10,2,4,0,2,1,7688,0,38,39,1,1
31,56,6,186651,1,7,6,8,4,4,0,0,0,50,39,0,3
32,24,6,188274,9,13,4,12,1,4,1,0,0,50,39,0,3
33,23,2,258120,15,10,2,11,0,4,1,0,0,40,39,0,0
34,26,4,43311,11,9,0,4,4,4,0,0,0,40,39,0,1
35,65,0,191846,11,9,2,0,0,4,1,0,0,40,39,0,3
36,36,2,403681,9,13,2,10,0,4,1,0,0,40,39,1,2
37,22,4,248446,4,3,4,9,1,4,1,0,0,50,13,0,0
38,17,4,269430,0,6,4,7,1,4,1,0,0,40,39,0,0
39,20,4,257509,11,9,4,3,3,4,1,0,0,40,39,0,0
40,65,4,136384,12,14,2,10,0,4,1,0,0,50,39,1,1
41,44,5,120277,8,11,2,12,0,4,1,0,0,45,39,1,1
42,36,4,465326,11,9,2,5,0,4,1,0,0,40,39,0,2
43,29,4,103634,1,7,2,8,0,4,1,0,0,40,39,0,1
44,20,7,138371,15,10,4,5,3,4,1,0,0,32,39,0,3
45,28,4,242832,8,11,2,10,5,4,0,0,0,36,39,1,3
46,39,4,290208,5,4,2,3,0,4,1,0,0,40,26,0,0
47,54,4,186272,15,10,2,14,0,4,1,3908,0,50,39,0,3
48,52,4,201062,1,7,5,9,1,2,0,0,0,18,39,0,3
49,56,5,131916,11,9,6,4,1,4,0,0,0,50,39,0,1
50,18,4,54440,15,10,4,8,3,4,1,0,0,20,39,0,1
51,39,4,280215,11,9,0,6,3,2,1,0,0,40,39,0,0
52,21,4,214399,15,10,4,8,3,4,0,0,1721,24,39,0,3
53,22,4,54164,11,9,4,8,1,4,1,14084,0,60,39,1,1
54,38,4,219446,6,5,3,4,1,4,1,0,0,54,26,0,3
55,21,4,110677,15,10,4,1,3,4,0,0,0,40,39,0,1
56,63,4,145985,11,9,2,3,0,4,1,0,0,40,39,0,3
57,34,2,382078,9,13,2,4,0,4,1,3103,0,50,39,1,0
58,42,5,170721,11,9,2,4,0,4,1,5178,0,50,39,1,3
59,33,4,269705,11,9,2,6,0,4,1,0,0,40,39,0,0
60,30,4,101135,9,13,4,4,1,4,0,0,0,50,39,0,1
61,39,4,118429,15,10,0,12,1,4,1,0,0,40,39,0,1
62,26,4,31208,12,14,4,4,1,4,0,0,0,40,39,0,1
63,33,4,281384,11,9,4,7,3,4,0,0,0,40,39,0,0
64,47,2,171807,11,9,0,1,1,4,0,0,0,40,39,0,3
65,41,4,109912,9,13,4,8,1,4,0,0,0,40,0,0,1
66,41,5,445382,7,12,2,3,0,4,1,15024,0,60,39,1,2
67,19,4,105460,15,10,4,8,3,4,1,0,0,20,39,0,1
68,46,4,170338,11,9,5,14,1,4,1,0,0,40,39,0,3
69,43,4,102606,11,9,2,12,0,4,1,0,0,48,39,0,1
70,55,4,323887,15,10,2,4,0,4,1,15024,0,45,39,1,0
71,46,4,175622,8,11,2,13,0,4,1,0,0,40,39,0,3
72,30,4,229636,11,9,2,7,0,4,1,0,0,40,26,0,3
73,21,4,388946,15,10,5,6,1,4,0,0,0,40,39,0,0
74,46,4,269034,15,10,2,3,0,3,1,0,0,40,6,0,0
75,17,0,165361,0,6,4,0,3,4,1,0,0,40,39,0,3
76,41,4,75012,11,9,2,7,0,4,1,0,0,50,39,0,1
77,69,5,174379,11,9,2,12,0,4,1,0,0,30,39,0,3
78,50,4,312477,11,9,2,14,0,4,1,0,0,40,39,0,0
79,20,4,72055,15,10,4,1,1,4,0,0,0,40,39,0,1
80,45,5,67001,15,10,2,7,0,4,1,0,0,50,39,0,1
81,23,4,213734,9,13,4,4,1,4,1,0,0,40,39,0,3
82,24,4,83141,15,10,5,8,1,4,1,0,1876,40,39,0,1
83,44,5,223881,11,9,2,3,0,4,1,99999,0,50,0,1,3
84,31,6,113752,15,10,2,3,0,4,1,0,0,50,39,0,1
85,43,4,170482,11,9,5,7,1,4,0,0,0,44,39,0,3
86,20,1,244689,1,7,4,8,3,4,0,0,0,10,39,0,3
87,55,4,160631,11,9,2,12,0,4,1,0,0,56,39,1,3
88,24,1,228724,15,10,4,2,1,4,1,0,0,40,39,0,3
89,41,0,38434,12,14,2,0,5,4,0,7688,0,10,39,1,1
90,59,4,292946,9,13,4,4,1,4,0,0,0,25,39,0,0
91,49,1,77443,5,4,4,8,1,2,1,0,0,20,39,0,1
92,33,4,176410,12,14,2,10,5,4,0,5178,0,10,39,1,3
93,59,1,98984,9,13,0,1,1,4,1,0,0,40,39,0,1
94,34,4,198751,12,14,4,8,1,0,1,0,0,40,39,0,3
95,20,4,479296,11,9,4,6,3,4,1,0,0,40,39,0,2
96,25,4,235218,9,13,4,4,3,4,0,0,0,40,39,0,3
97,49,4,164877,0,6,2,5,0,4,1,0,0,40,39,0,3
98,59,4,272087,11,9,2,14,0,4,1,0,0,40,39,1,0
99,20,4,169699,11,9,4,1,1,4,0,0,0,40,39,0,3
100,51,0,189762,15,10,2,0,5,4,0,0,0,18,39,0,3
101,33,4,202191,15,10,4,1,4,2,0,0,0,35,39,0,3
102,22,4,212261,15,10,4,14,3,2,1,0,0,39,39,0,3
103,58,6,301568,6,5,6,8,1,4,0,0,0,40,39,0,0
104,52,2,155233,11,9,6,1,4,4,0,0,0,28,39,0,3
105,36,4,75826,0,6,5,7,1,4,0,0,0,40,39,0,1
106,41,2,201520,11,9,2,11,0,4,1,0,0,40,39,0,3
107,28,4,154236,11,9,4,14,3,4,1,2597,0,40,39,0,3
108,19,4,289227,15,10,4,6,3,2,1,0,0,16,39,0,0
109,18,4,217439,11,9,4,8,1,4,0,0,0,28,39,0,3
110,18,4,179020,11,9,4,7,3,4,0,0,0,48,39,0,3
111,28,4,149624,15,10,2,3,0,4,1,0,0,40,39,0,3
112,29,4,337266,8,11,2,4,0,4,1,0,0,40,39,1,0
113,20,0,30796,11,9,4,0,3,4,0,0,0,20,39,0,1
114,40,4,103541,15,10,2,6,0,4,1,0,0,40,39,0,1
115,26,4,206721,11,9,4,6,4,4,1,0,0,40,39,0,3
116,46,4,96773,11,9,2,3,0,4,1,0,0,40,39,0,1
117,23,4,200967,1,7,4,8,1,4,0,0,0,24,39,0,3
118,44,4,180019,11,9,3,1,4,4,0,0,0,40,39,0,3
119,43,4,179866,9,13,0,12,4,4,0,0,0,40,39,1,3
120,31,2,198770,9,13,0,10,4,4,0,0,0,60,39,0,3
121,18,4,219256,15,10,4,12,3,4,0,0,0,25,39,0,3
122,19,4,248730,15,10,4,11,3,4,1,0,0,30,39,0,0
123,41,4,110732,15,10,0,13,1,4,0,0,0,40,39,0,1
124,41,4,181020,11,9,0,6,4,4,0,0,0,40,39,0,3
125,69,4,183791,11,9,0,1,1,4,0,0,0,25,39,0,3
126,48,1,42972,10,16,2,10,5,4,0,0,0,40,39,1,1
127,28,4,134813,11,9,4,10,3,4,1,0,0,40,39,0,1
128,27,6,115438,11,9,2,3,0,4,1,0,0,60,21,1,1
129,41,4,239296,12,14,2,10,0,4,1,0,2415,50,39,1,3
130,41,4,428420,15,10,2,1,0,4,1,0,0,40,39,0,2
131,24,4,247846,11,9,4,3,4,2,0,0,0,40,39,0,0
132,20,0,334105,11,9,4,0,1,4,0,0,0,40,39,0,0
133,42,5,100793,10,16,2,10,0,4,1,0,0,41,39,1,1
134,57,4,244478,11,9,2,3,0,2,1,0,0,48,39,0,3
135,30,4,142921,7,12,4,10,1,4,0,0,0,40,39,0,3
136,36,4,182863,11,9,2,12,0,4,1,0,0,60,39,1,3
137,49,4,171128,5,4,2,7,0,2,1,0,0,40,39,0,3
138,33,4,145402,11,9,2,7,5,4,0,0,0,35,39,0,3
139,23,4,306309,0,6,2,5,0,4,1,0,0,40,39,0,0
140,46,4,83822,12,14,2,10,0,4,1,0,0,40,39,0,1
141,18,4,262118,15,10,4,1,3,1,0,0,0,22,11,0,0
142,40,4,155972,11,9,2,4,0,4,1,7688,0,55,39,1,3
143,43,5,214503,11,9,2,4,0,4,1,0,1887,45,39,1,3
144,34,4,159303,12,14,4,10,3,4,0,0,0,30,39,0,3
145,47,6,174995,11,9,6,4,1,4,0,0,0,30,39,0,3
146,44,4,26669,8,11,6,4,4,4,0,0,0,30,39,0,1
147,33,4,177727,11,9,2,12,0,4,1,0,0,40,39,1,3
148,55,4,124771,9,13,2,4,0,4,1,15024,0,50,39,1,1
149,19,4,456736,11,9,4,12,1,4,1,2907,0,30,39,0,2
150,28,4,216604,15,10,4,8,1,2,1,0,0,14,39,0,3
151,27,4,221561,1,7,2,8,5,2,0,0,0,32,39,0,3
152,50,4,114564,5,4,2,7,0,4,1,0,0,20,39,0,1
153,22,4,315476,1,7,4,3,4,4,1,0,0,40,39,0,0
154,40,7,67874,9,13,2,1,0,4,1,0,1887,45,39,1,1
155,25,4,126110,15,10,4,1,3,4,0,0,0,40,39,0,1
156,26,2,102264,11,9,4,3,1,4,1,0,0,40,39,0,1
157,22,4,537222,9,13,4,12,1,4,1,0,0,25,39,0,2
158,42,4,113732,15,10,4,6,4,2,0,0,625,40,39,0,1
159,38,5,93225,9,13,0,4,1,4,1,0,0,40,39,0,1
160,55,4,43064,1,7,2,8,0,4,1,0,0,30,39,0,1
161,32,4,136921,11,9,2,12,0,4,1,0,0,40,39,0,1
162,22,4,388885,11,9,2,3,0,4,1,0,0,45,39,0,0
163,29,4,142249,9,13,4,12,3,4,1,0,0,40,39,0,3
164,46,7,56841,12,14,2,4,0,4,1,0,0,45,39,1,1
165,31,4,156493,15,10,2,4,0,4,1,0,0,40,39,1,3
166,58,6,159021,10,16,2,10,0,4,1,0,0,16,39,1,3
167,42,4,190910,11,9,2,3,0,4,1,0,0,45,39,0,3
168,18,4,41879,11,9,4,6,4,4,1,0,0,25,39,0,1
169,58,2,137249,11,9,0,4,1,4,1,0,0,33,39,0,1
170,54,4,236157,11,9,2,10,0,4,1,0,1887,40,39,1,3
171,34,4,189759,12,14,4,10,1,4,1,0,0,40,39,0,3
172,26,4,239877,9,13,4,1,1,4,0,0,0,40,39,0,3
173,61,4,21175,2,8,2,4,0,4,1,0,0,60,39,0,1
174,48,2,67229,12,14,5,1,4,2,0,0,0,40,39,0,1
175,36,4,236391,15,10,2,4,0,4,1,0,0,45,39,1,3
176,24,4,325596,8,11,2,7,0,4,1,0,0,45,39,0,0
177,40,4,83411,15,10,2,7,0,4,1,0,0,37,39,0,1
178,33,5,154227,11,9,2,12,0,4,1,0,0,50,39,1,3
179,37,4,248010,15,10,2,7,0,4,1,0,1887,40,39,1,0
180,34,4,198613,12,14,4,4,3,4,1,4650,0,40,39,0,3
181,56,5,321529,15,10,2,4,0,4,1,15024,0,40,39,1,0
182,28,0,168524,11,9,2,0,3,4,0,0,0,38,39,1,3
183,37,4,203079,9,13,6,4,1,4,0,0,0,55,39,0,3
184,44,4,284652,11,9,0,12,4,2,0,0,0,40,39,0,0
185,64,0,201368,15,10,2,0,0,4,1,0,0,8,39,0,3
186,54,4,59840,11,9,0,6,1,4,1,0,0,45,39,0,1
187,23,4,52753,11,9,4,7,1,4,1,0,0,50,39,0,1
188,34,7,513100,9,13,3,5,1,2,1,0,0,40,0,0,2
189,22,4,199266,11,9,4,8,1,4,0,0,0,45,39,0,3
190,33,4,196385,9,13,2,4,0,4,1,0,1977,40,39,1,3
191,39,4,163205,9,13,5,10,1,4,1,0,0,50,39,1,3
192,47,4,411047,15,10,0,1,1,2,0,0,0,37,39,0,2
193,79,0,48574,5,4,6,0,1,4,1,0,0,40,39,0,1
194,26,4,209440,11,9,4,10,4,2,0,0,0,55,39,0,3
195,31,4,56964,15,10,0,4,4,4,0,0,0,40,39,0,1
196,44,4,299197,15,10,4,14,1,4,1,0,0,45,39,0,0
197,42,5,240628,14,15,2,10,5,4,0,0,0,50,39,1,3
198,19,4,355313,11,9,4,7,1,4,0,0,0,40,39,0,0
199,27,4,132267,11,9,2,6,0,4,1,0,0,40,39,1,1
200,51,2,174861,15,10,2,11,0,4,1,0,0,40,39,1,3
201,28,5,142443,9,13,2,4,0,4,1,0,0,50,39,0,3
202,57,4,26716,9,13,0,3,1,4,1,0,0,45,39,0,1
203,45,2,185588,9,13,0,10,4,4,0,0,0,40,39,0,3
204,50,4,175029,8,11,2,10,0,4,1,0,0,40,39,1,3
205,34,5,34848,9,13,2,12,0,4,1,0,0,54,39,0,1
206,45,4,411273,5,4,2,3,0,2,1,0,0,40,39,0,2
207,73,2,143437,11,9,2,4,0,4,1,0,0,20,39,0,3
208,34,4,357145,9,13,2,10,5,4,0,0,0,50,39,1,0
209,31,4,236861,15,10,2,12,0,4,1,0,0,55,39,1,3
210,19,4,53355,1,7,4,12,1,4,1,0,0,12,39,0,1
211,25,4,29106,15,10,4,8,3,4,0,0,0,50,39,0,1
212,38,1,213274,8,11,0,3,4,4,0,6497,0,40,39,0,3
213,39,4,22463,9,13,2,14,0,4,1,0,0,40,39,0,1
214,23,4,180497,9,13,4,13,3,2,0,0,0,32,39,0,3
215,49,4,37306,11,9,2,7,0,4,1,0,0,40,39,0,1
216,33,1,137814,11,9,4,8,1,4,1,0,0,32,39,0,3
217,21,4,447488,4,3,4,7,2,4,1,0,0,38,26,0,2
218,31,4,220915,8,11,5,3,1,4,1,0,0,40,39,0,3
219,23,4,42251,9,13,4,4,1,4,0,0,0,45,39,0,1
220,34,4,162312,9,13,2,1,0,1,1,0,0,40,30,0,3
221,25,4,77698,11,9,4,7,1,1,0,0,0,40,30,0,1
222,39,4,282951,11,9,4,3,4,4,1,0,0,40,39,0,0
223,52,5,311259,11,9,2,12,0,4,1,0,0,40,39,1,0
224,63,2,65479,6,5,2,14,0,4,1,7688,0,40,39,1,1
225,41,4,277256,15,10,2,3,0,4,1,0,0,40,39,0,0
